,collection_date,country,host_species,reassortant,state,strain_name,subtype
1797,2011-08-15,USA,Mallard/Avian,False,Ohio,A/mallard/Ohio/11OS2145/2011,H10N7
1798,2010-09-15,USA,Blue-Winged Teal/Avian,False,Missouri,A/blue-winged teal/Missouri/10MO021/2010,H3N8
1799,2009-12-03,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/4196/2009,Mixed
1800,2009-08-06,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM7069R0/2009,H3N8
1801,2011-09-04,USA,Green-Winged Teal/Avian,False,Interior Alaska,A/American green-winged teal/Interior Alaska/11BM03899/2011,H3N8
1802,2009-12-02,China,Chicken/Avian,False,Shanghai,A/chicken/Shanghai/50/2009,H9N2
1803,2012-11-15,China,Chicken/Avian,False,Shandong,A/chicken/Shandong/qd1115/2012,H9N2
1804,2007-08-03,USA,Blue-Winged Teal/Avian,False,Minnesota,A/blue-winged teal/Minnesota/Sg-00031/2007,H4N6
1805,2007-08-27,,Mallard/Avian,False,Sweden,A/mallard/Sweden/59463/2007,H10N7
1806,2009-07-11,USA,American Wigeon/Avian,False,Interior Alaska,A/American wigeon/Interior Alaska/9BM2501R1/2009,H3N8
1807,2009-10-17,USA,Blue-Winged Teal/Avian,False,Wisconsin,A/blue-winged teal/Wisconsin/2649/2009,H6N1
1808,2010-09-17,Canada,American Black Duck/Avian,True,New Brunswick,A/American black duck/New Brunswick/00998/2010,H12N6
1809,2011-12-03,USA,Mallard/Avian,False,California,A/mallard/California/2961/2011,H2N3
1810,2010-08-25,Canada,Blue-Winged Teal/Avian,False,New Brunswick,A/blue-winged teal/New Brunswick/00769/2010,H3N8
